id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-2349,0.0,0.0,0.0,0.0,70.66666667,20.0,20.66666667,0.11666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01666667,0.0,0.0,0.0,0
FS-1666,0.0,0.0,0.0,0.0,92.42424242,18.33333333,14.88888889,0.10909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818182,0.0,0.0,0.0,0
FS-0715,0.0,0.0,0.0,0.0,74.37457627,14.75,24.6875,0.11864407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01694915,0.0,0.0,0.0,2
FS-0488,0.0,0.0,0.0,0.0,80.66666667,21.66666667,29.55555556,0.10769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01538462,0.0,0.0,0.0,0
FS-2513,0.0,0.0,0.0,0.0,83.45714286,14.0,14.0,0.07142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0676,0.0,0.0,0.0,0.0,64.26666667,16.66666667,6.88888889,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0
FS-2467,0.0,0.0,0.0,0.0,71.95612903,18.6,47.84,0.08602151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075269,0.98924731,0.02150538,0.0,0.0,0.0,0
FS-2796,0.0,0.0,0.0,0.0,78.0,15.0,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-2554,0.0,0.0,0.0,0.0,75.53333333,18.0,10.0,0.04166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01388889,0.0,0.0,0.0,0
FS-3109,0.0,0.0,0.0,0.0,84.525,16.0,16.5,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.0,0.0,0
